"","unique(all.data.2$Taxon)"
"586","HYPOCHAERIS GLABRA"
"587","HYPOLAENA FASTIGIATA"
"588","ISOLEPIS MARGINATA"
"589","LEPIDOSPERMA CARPHOIDES"
"590","LEPIDOSPERMA CONGESTUM"
"591","LEVENHOOKIA DUBIA"
"592","LOMANDRA JUNCEA"
"593","LOMANDRA NANA"
"594","Lagenophora stipitata"
"595","MICROSERIS SCAPIGERA"
"596","MILLOTIA MUELLERI"
"597","MILLOTIA TENUIFOLIA"
"598","NEURACHNE ALOPECUROIDEA"
"599","PELARGONIUM RODNEYANUM"
"600","PIMELEA HUMILIS"
"601","QUINETIA URVILLEI"
"602","RANUNCULUS ROBERTSONII"
"603","ROMULEA ROSEA"
"604","SCHOENUS APOGON"
"605","SILOXERUS MULTIFLORUS"
"606","SOLENOGYNE DOMINII"
"607","STIPA VAGINATA"
"608","THYSANOTUS PATERSONII"
"609","THYSANOTUS TUBEROSUS"
"610","WAHLENBERGIA GRACILENTA"
"611","WAHLENBERGIA STRICTA"
"612","WURMBEA DIOICA"
"613","BOERHAVIA SPICATA"
"614","EUPHORBIA GLYPTOSPERMA"
"615","KRAMERIA LANCEOLATA"
"616","PANICUM HIRTICAULE"
"617","PROSOPIS GLANDULOSA"
"618","SENNA BAUHINIOIDES"
"619","SPOROBOLUS FLEXUOSUS"
"620","TIDESTROMIA LANUGINOSA"
"621","ACOURTIA NANA"
"622","CROTON POTTSII"
"623","ERIOGONUM ANNUUM"
"624","GUTIERREZIA SAROTHRAE"
"625","PHYSALIS HEDERIFOLIA"
"626","SETARIA LEUCOPILA"
"627","SOLANUM ELAEAGNIFOLIUM"
"628","ZINNIA GRANDIFLORA"
"629","AGROSTIS SCABRA"
"630","ANDROSACE SEPTENTRIONALIS"
"631","ANEMONE PATENS"
"632","ARTEMISIA ABSINTHIUM"
"633","ASTRAGALUS FLEXUOSUS"
"634","ELYMUS TRACHYCAULUS"
"635","LACTUCA TATARICA"
"636","MUHLENBERGIA RICHARDSONIS"
"637","AGOSERIS GLAUCA"
"638","NASSELLA VIRIDULA"
"639","PASCOPYRUM SMITHII"
"640","ASTRAGALUS AGRESTIS"
"641","AXYRIS AMARANTHOIDES"
"642","ELYMUS LANCEOLATUS"
"643","FESTUCA HALLII"
"644","GEUM TRIFLORUM"
"645","SISYRINCHIUM MONTANUM"
"646","SYMPHYOTRICHUM FALCATUM"
"647","ARTEMISIA CAMPESTRIS"
"648","BASSIA LANIFLORA"
"649","BUGLOSSOIDES ARVENSIS"
"650","CAREX LIPAROCARPOS"
"651","CENTAUREA ARENARIA"
"652","CREPIS FOETIDA"
"653","DIANTHUS SEROTINUS"
"654","EUPHORBIA SEGUIERIANA"
"655","FESTUCA VAGINATA"
"656","FUMANA PROCUMBENS"
"657","GYPSOPHILA PANICULATA"
"658","MINUARTIA GLOMERATA"
"659","MYOSOTIS STRICTA"
"660","POLYGONUM ARENARIUM"
"661","SECALE SYLVESTRE"
"662","SILENE OTITES"
"663","STIPA PENNATA"
"664","SYRENIA CANA"
"665","ANTENNARIA NEGLECTA"
"666","ASCLEPIAS VIRIDIS"
"667","BOUTELOUA CURTIPENDULA"
"668","CAREX BREVIOR"
"669","CAREX MEADII"
"670","CYPERUS LUPULINUS"
"671","DALEA CANDIDA"
"672","ERIGERON STRIGOSUS"
"673","MIMOSA NUTTALLII"
"674","OXALIS STRICTA"
"675","PANICUM CAPILLARE"
"676","RUELLIA HUMILIS"
"677","SYMPHYOTRICHUM OBLONGIFOLIUM"
"678","TRIDENS FLAVUS"
"679","FAGUS SYLVATICA"
"680","PICEA ABIES"
"681","AGROSTIS CANINA"
"682","AGROSTIS CAPILLARIS"
"683","CAREX BINERVIS"
"684","CAREX ECHINATA"
"685","CAREX NIGRA"
"686","CAREX PANICEA"
"687","CAREX PILULIFERA"
"688","CORNUS SUECICA"
"689","DACTYLORHIZA MACULATA"
"690","DANTHONIA DECUMBENS"
"691","ERICA TETRALIX"
"692","FESTUCA VIVIPARA"
"693","GALIUM SAXATILE"
"694","HYLOCOMIUM SPLENDENS"
"695","HYPNUM JUTLANDICUM"
"696","LUZULA PILOSA"
"697","LYSIMACHIA EUROPAEA"
"698","MOLINIA CAERULEA"
"699","PEDICULARIS SYLVATICA"
"700","PLAGIOTHECIUM UNDULATUM"
"701","PLEUROZIUM SCHREBERI"
"702","POLYTRICHUM COMMUNE"
"703","POTENTILLA ERECTA"
"704","PSEUDOSCLEROPODIUM PURUM"
"705","RHYTIDIADELPHUS LOREUS"
"706","RHYTIDIADELPHUS SQUARROSUS"
"707","TRICHOPHORUM CESPITOSUM"
"708","VACCINIUM MYRTILLUS"
"709","VACCINIUM ULIGINOSUM"
"710","VACCINIUM VITIS-IDAEA"
"711","AVENELLA FLEXUOSA"
"712","ERIOPHORUM ANGUSTIFOLIUM"
"713","ERIOPHORUM VAGINATUM"
"714","JUNCUS SQUARROSUS"
"715","JUNIPERUS COMMUNIS"
"716","LEUCOBRYUM GLAUCUM"
"717","NARTHECIUM OSSIFRAGUM"
"718","PTILIUM CRISTA-CASTRENSIS"
"719","SORBUS AUCUPARIA"
"720","TRIENTALIS EUROPEA"
"721","AGROSTIS MONTEVIDENSIS"
"722","BROMUS CATHARTICUS"
