,Taxon,site_code,mean.drt.cover.yr1,mean.drt.cover.yr2,diff.drt.trt,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.g.cm3,SRL_m.g,rootDiam.mm,local_lifeform,local_lifespan,functional_group,site.id
586,TEUCRIUM CHAMAEDRYS,allmendb.ch,5.75,5.125,-0.625,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,1
587,TEUCRIUM CHAMAEDRYS,allmendo.ch,2.583333333,3.666666667,1.083333334,16,0.190683889,19.69,14.12995424,1.62,0.187321285,149.5449877,0.264622222,SHRUB,PERENNIAL,WOODY,2
588,THALICTRUM VENULOSUM,brookdale.ca,1.75,1.166666667,-0.583333333,NA,0.1059,NA,19.84,NA,NA,NA,NA,FORB,PERENNIAL,FORB,8
591,THEMEDA TRIANDRA,ukulingadrt.za,15,17,2,13.22821429,1.5,4.35,9.2635,NA,NA,NA,0.2625,GRASS,PERENNIAL,GRASS,60
594,THYMUS SERPYLLUM,allmendb.ch,1.666666667,1.75,0.083333333,19.815,0.08775,NA,12.59845839,0.250506667,0.7,11.2,NA,FORB,PERENNIAL,WOODY,1
595,THYMUS SERPYLLUM,allmendo.ch,1.833333333,1.666666667,-0.166666666,19.815,0.08775,NA,12.59845839,0.250506667,0.7,11.2,NA,FORB,PERENNIAL,WOODY,2
596,THYMUS VULGARIS,ebro.es,2.008951389,1.495168889,-0.5137825,15.125,0.08,NA,10.34931507,0.3318,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,22
597,THYMUS VULGARIS,ciempoz.es,7.914166667,6.446666667,-1.4675,15.125,0.08,NA,10.34931507,0.3318,NA,NA,NA,SUBSHRUB,PERENNIAL,WOODY,17
600,TRAGOPOGON PRATENSIS,baddrt.de,0,0.3,0.3,27,0.575,20.30344663,22.41578318,NA,0.170824899,150.3177187,0.287861111,FORB,PERENNIAL,FORB,5
605,TRIFOLIUM MACROCEPHALUM,oreaa.us,3.5,1,-2.5,NA,0.6096,NA,6.89,0.1524,NA,NA,1.85,FORB,PERENNIAL,LEGUME,48
606,TRIFOLIUM MACROCEPHALUM,oreac.us,0.5,3.5,3,NA,0.6096,NA,6.89,0.1524,NA,NA,1.85,FORB,PERENNIAL,LEGUME,49
607,TRIFOLIUM MONTANUM,allmendo.ch,0.5,0.25,-0.25,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,2
608,TRIFOLIUM MONTANUM,allmendb.ch,0.25,0.75,0.5,34.121,0.306666667,NA,18.67023642,0.825,0.113646105,238.0656783,0.246975,FORB,PERENNIAL,LEGUME,1
609,TRIFOLIUM PRATENSE,esw.ca,12.33333333,30,17.66666667,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,24
610,TRIFOLIUM PRATENSE,pineta.es,2.375,0,-2.375,40.4444317,0.389308642,21.07704,27.55091965,0.3048,0.16269724,184.5175823,0.256183381,FORB,PERENNIAL,LEGUME,52
611,TRIFOLIUM REPENS,elvadrt.ee,2,1,-1,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,23
612,TRIFOLIUM REPENS,pineta.es,3,1.125,-1.875,43.78354086,0.236251111,21.66035,26.94650771,0.3048,0.123144013,192.8045087,0.263218929,FORB,PERENNIAL,LEGUME,52
613,TRIODIA BASEDOWII,ethadn.au,49.33333333,72,22.66666667,6.4,1.3,NA,2.93,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,26
614,TRIODIA BASEDOWII,ethadb.au,31.5,36,4.5,6.4,1.3,NA,2.93,NA,NA,NA,NA,GRASS,PERENNIAL,GRASS,25
615,TRISETUM FLAVESCENS,validate.fr,8.3,6.75,-1.55,27.09907954,0.532263158,8.795034255,22.11711414,0.44,0.166445278,447.4973772,0.175392308,GRASS,PERENNIAL,GRASS,61
616,TRISETUM SPICATUM,falls.au,1,0.5,-0.5,NA,0.32706,NA,21.1,0.3048,NA,NA,0.24,GRASS,PERENNIAL,GRASS,27
617,ULEX PARVIFLORUS,ayora.es,26.66666667,29.66666667,2.999999997,14.1,1.315,NA,4.82,1.5,0.71673186,9.189147922,0.373179167,SHRUB,PERENNIAL,LEGUME,4
629,VERONICA CHAMAEDRYS,elvadrt.ee,1.5,1.333333333,-0.166666667,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,23
630,VERONICA CHAMAEDRYS,rhijn.nl,4,0,-4,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,53
631,VERONICA CHAMAEDRYS,pineta.es,0,0.5,0.5,25.804,0.234,10.00287923,28.10742313,0.34,0.114461321,349.9700698,0.149373333,FORB,PERENNIAL,FORB,52
632,VICIA AMERICANA,brookdale.ca,1,1,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,8
633,VICIA AMERICANA,kinsella.ca,5.6,5.6,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,37
634,VICIA AMERICANA,kernnu.ca,1,0.833333333,-0.166666667,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,36
635,VICIA AMERICANA,kernb.ca,1,0.5,-0.5,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,35
636,VICIA AMERICANA,matador.ca,0.5,0.5,0,42.658,0.2765,21.77,21.29655909,0.254,0.096375062,29.37063333,0.363178334,VINE,PERENNIAL,LEGUME,43
637,VICIA CRACCA,elvadrt.ee,1.333333333,1.5,0.166666667,41.79727454,0.879038889,24.42381,26.81365133,0.3048,0.195683333,41.43187551,0.463024976,LEGUME,PERENNIAL,LEGUME,23
641,VICIA SEPIUM,elvadrt.ee,1.666666667,1.333333333,-0.333333334,46.0056,0.683333333,27.307,38.73428571,0.52,0.077475,406.25,0.83175,FORB,PERENNIAL,LEGUME,23
642,VIOLA BETONICIFOLIA,falls.au,0.5,0.5,0,NA,0.2,NA,17.081108,NA,NA,NA,NA,FORB,PERENNIAL,FORB,27
643,VITIS VULPINA,esw.ca,7,6,-1,NA,NA,NA,8.20827,0.4064,NA,NA,NA,VINE,PERENNIAL,WOODY,24
648,ZIZIA APTERA,brookdale.ca,1,1.166666667,0.166666667,16.074,NA,NA,40.37573969,NA,NA,NA,NA,FORB,PERENNIAL,FORB,8
96,BRIZA MEDIA,elvadrt.ee,25,30,5,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,23
97,BRIZA MEDIA,allmendo.ch,2.416666667,2.416666667,-3.33E-10,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,2
98,BRIZA MEDIA,allmendb.ch,2.5,2.5,0,19.10016667,0.41946,2.042559524,20.92775774,0.52,0.179667951,288.6987236,0.171363333,GRASS,PERENNIAL,GRASS,1
386,LOLIUM PERENNE,validate.fr,7.02,10,2.98,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,61
387,LOLIUM PERENNE,jenadrt.de,47.33333333,39.66666667,-7.666666663,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,33
388,LOLIUM PERENNE,baddrt.de,0.05,0.4,0.35,19.23,0.429,9.7,18.31,0.254,0.104845371,220.8471095,0.1,GRASS,PERENNIAL,GRASS,5
413,OXALIS CONORRHIZA,naposta.ar,1,1,0,NA,0.1176,NA,42.67,NA,NA,NA,NA,FORB,PERENNIAL,FORB,45
